driverId,driverRef,driverStandingsId,raceId,points,position,wins,year,circuitId,name,time
4,alonso,72278,1113,170.0,4,0,2023,15,Singapore Grand Prix,12:00:00
4,alonso,72300,1114,174.0,4,0,2023,22,Japanese Grand Prix,05:00:00
4,alonso,72344,1115,183.0,4,0,2023,78,Qatar Grand Prix,17:00:00
4,alonso,72388,1116,183.0,4,0,2023,69,United States Grand Prix,19:00:00
4,alonso,72410,1117,183.0,5,0,2023,32,Mexico City Grand Prix,20:00:00
4,alonso,72432,1118,198.0,4,0,2023,18,São Paulo Grand Prix,17:00:00
4,alonso,72476,1119,200.0,5,0,2023,80,Las Vegas Grand Prix,06:00:00
4,alonso,72498,1120,206.0,4,0,2023,24,Abu Dhabi Grand Prix,13:00:00
4,alonso,72566,1121,2.0,9,0,2024,3,Bahrain Grand Prix,15:00:00
4,alonso,72586,1122,12.0,7,0,2024,77,Saudi Arabian Grand Prix,17:00:00
4,alonso,72649,1123,16.0,8,0,2024,1,Australian Grand Prix,04:00:00
4,alonso,72670,1124,24.0,8,0,2024,22,Japanese Grand Prix,05:00:00
4,alonso,72691,1125,31.0,8,0,2024,17,Chinese Grand Prix,07:00:00
4,alonso,72712,1126,33.0,8,0,2024,79,Miami Grand Prix,20:00:00
4,alonso,72733,1127,33.0,9,0,2024,21,Emilia Romagna Grand Prix,13:00:00
4,alonso,72775,1128,33.0,9,0,2024,6,Monaco Grand Prix,13:00:00
4,alonso,72796,1129,41.0,9,0,2024,7,Canadian Grand Prix,18:00:00
4,alonso,72817,1130,41.0,9,0,2024,4,Spanish Grand Prix,13:00:00
4,alonso,72838,1131,41.0,9,0,2024,70,Austrian Grand Prix,13:00:00
4,alonso,72859,1132,45.0,9,0,2024,9,British Grand Prix,14:00:00
8,raikkonen,68611,989,15.0,3,0,2018,1,Australian Grand Prix,05:10:00
8,raikkonen,68691,990,15.0,5,0,2018,3,Bahrain Grand Prix,15:10:00
8,raikkonen,68671,991,30.0,5,0,2018,17,Chinese Grand Prix,06:10:00
8,raikkonen,68711,992,48.0,3,0,2018,73,Azerbaijan Grand Prix,12:10:00
8,raikkonen,68731,993,48.0,4,0,2018,4,Spanish Grand Prix,13:10:00
8,raikkonen,68751,994,60.0,5,0,2018,6,Monaco Grand Prix,13:10:00
8,raikkonen,68771,995,68.0,5,0,2018,7,Canadian Grand Prix,18:10:00
8,raikkonen,68791,996,83.0,5,0,2018,34,French Grand Prix,14:10:00
8,raikkonen,68811,997,101.0,3,0,2018,70,Austrian Grand Prix,13:10:00
8,raikkonen,68831,998,116.0,3,0,2018,9,British Grand Prix,13:10:00
8,raikkonen,68851,999,131.0,3,0,2018,10,German Grand Prix,13:10:00
8,raikkonen,68871,1000,146.0,3,0,2018,11,Hungarian Grand Prix,13:10:00
