name;Year;AirTemp;Humidity;Pressure;Rainfall;TrackTemp;WindDirection;WindSpeed;Round Number;raceId;round;circuitId;date;time;driverStandingsId;driverId;points;wins;driverRef
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1024;15;15;22/09/2019;12:10:00;69580;846;31.0;0;norris
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1024;15;15;22/09/2019;12:10:00;69581;815;27.0;0;perez
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1024;15;15;22/09/2019;12:10:00;69582;848;42.0;0;albon
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1024;15;15;22/09/2019;12:10:00;69584;847;0.0;0;russell
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1024;15;15;22/09/2019;12:10:00;69587;817;34.0;0;ricciardo
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1024;15;15;22/09/2019;12:10:00;69588;832;58.0;0;sainz
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1091;17;15;02/10/2022;12:00:00;71628;844;237.0;3;leclerc
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1091;17;15;02/10/2022;12:00:00;71629;832;202.0;1;sainz
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1091;17;15;02/10/2022;12:00:00;71630;1;170.0;0;hamilton
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1091;17;15;02/10/2022;12:00:00;71631;847;203.0;0;russell
